Date,Course,Hole,Par,Score,Putts,Fairway Hit,GIR,Penalties
2024-10-03,Sunningdale Golf Club,18,5,6,2,No,No,0
2024-10-17,Royal St George's,1,4,5,2,No,No,0
2024-10-17,Royal St George's,2,5,5,2,Yes,No,0
2024-10-17,Royal St George's,3,3,4,2,,No,0
2024-10-17,Royal St George's,4,4,4,2,Yes,Yes,0
2024-10-17,Royal St George's,5,4,5,2,No,No,0
2024-10-17,Royal St George's,6,4,5,2,No,No,0
2024-10-17,Royal St George's,7,3,3,1,,Yes,0
2024-10-17,Royal St George's,8,4,5,2,No,No,0
2024-10-17,Royal St George's,9,5,6,2,No,No,1
2024-10-17,Royal St George's,10,4,4,2,Yes,Yes,0
2024-10-17,Royal St George's,11,4,5,2,No,No,0
2024-10-17,Royal St George's,12,3,4,2,,No,0
2024-10-17,Royal St George's,13,5,5,2,Yes,Yes,0
2024-10-17,Royal St George's,14,4,5,2,No,No,0
2024-10-17,Royal St George's,15,4,4,1,Yes,Yes,0
2024-10-17,Royal St George's,16,3,3,2,,Yes,0
2024-10-17,Royal St George's,17,4,5,2,No,No,0
2024-10-17,Royal St George's,18,5,6,2,No,No,1
2024-11-07,Wentworth Club,1,4,4,2,Yes,Yes,0
2024-11-07,Wentworth Club,2,5,5,2,Yes,Yes,0
2024-11-07,Wentworth Club,3,3,3,2,,Yes,0
2024-11-07,Wentworth Club,4,4,5,2,No,No,0
2024-11-07,Wentworth Club,5,4,4,2,Yes,Yes,0
2024-11-07,Wentworth Club,6,4,4,1,Yes,Yes,0
2024-11-07,Wentworth Club,7,3,4,2,,No,0
2024-11-07,Wentworth Club,8,4,4,2,Yes,Yes,0
2024-11-07,Wentworth Club,9,5,6,2,No,No,1
2024-11-07,Wentworth Club,10,4,4,2,Yes,Yes,0
2024-11-07,Wentworth Club,11,4,5,2,No,No,0
2024-11-07,Wentworth Club,12,3,4,2,,No,0
2024-11-07,Wentworth Club,13,5,5,2,Yes,Yes,0
2024-11-07,Wentworth Club,14,4,4,2,Yes,Yes,0
2024-11-07,Wentworth Club,15,4,5,2,No,No,0
2024-11-07,Wentworth Club,16,3,3,1,,Yes,0
2024-11-07,Wentworth Club,17,4,4,2,Yes,Yes,0
2024-11-07,Wentworth Club,18,5,6,2,No,No,0
2024-11-21,Sunningdale Golf Club,1,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,2,5,4,1,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,3,3,3,2,,Yes,0
2024-11-21,Sunningdale Golf Club,4,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,5,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,6,4,5,2,No,No,0
2024-11-21,Sunningdale Golf Club,7,3,3,1,,Yes,0
2024-11-21,Sunningdale Golf Club,8,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,9,5,5,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,10,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,11,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,12,3,3,1,,Yes,0
2024-11-21,Sunningdale Golf Club,13,5,5,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,14,4,5,2,No,No,0
2024-11-21,Sunningdale Golf Club,15,4,4,2,Yes,Yes,0
2024-11-21,Sunningdale Golf Club,16,3,4,2,,No,0
2024-11-21,Sunningdale Golf Club,17,4,5,2,No,No,0
2024-11-21,Sunningdale Golf Club,18,5,6,2,No,No,1
2024-12-05,Royal St George's,1,4,5,2,No,No,0
2024-12-05,Royal St George's,2,5,6,2,No,No,1
2024-12-05,Royal St George's,3,3,4,2,,No,0
2024-12-05,Royal St George's,4,4,4,2,Yes,Yes,0
2024-12-05,Royal St George's,5,4,5,2,No,No,0
2024-12-05,Royal St George's,6,4,5,2,No,No,0
2024-12-05,Royal St George's,7,3,3,1,,Yes,0
2024-12-05,Royal St George's,8,4,4,2,Yes,Yes,0
2024-12-05,Royal St George's,9,5,5,2,Yes,Yes,0
2024-12-05,Royal St George's,10,4,4,2,Yes,Yes,0
2024-12-05,Royal St George's,11,4,5,2,No,No,0
2024-12-05,Royal St George's,12,3,3,1,,Yes,0
2024-12-05,Royal St George's,13,5,5,2,Yes,Yes,0
2024-12-05,Royal St George's,14,4,5,2,No,No,0
2024-12-05,Royal St George's,15,4,4,2,Yes,Yes,0
2024-12-05,Royal St George's,16,3,4,2,,No,0
2024-12-05,Royal St George's,17,4,5,2,No,No,0
2024-12-05,Royal St George's,18,5,6,2,No,No,0
2025-01-16,Sunningdale Golf Club,1,4,4,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,2,5,5,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,3,3,4,2,,No,0
2025-01-16,Sunningdale Golf Club,4,4,5,2,No,No,0
2025-01-16,Sunningdale Golf Club,5,4,4,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,6,4,5,2,No,No,0
2025-01-16,Sunningdale Golf Club,7,3,3,1,,Yes,0
2025-01-16,Sunningdale Golf Club,8,4,4,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,9,5,6,2,No,No,1
2025-01-16,Sunningdale Golf Club,10,4,4,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,11,4,5,2,No,No,0
2025-01-16,Sunningdale Golf Club,12,3,3,1,,Yes,0
2025-01-16,Sunningdale Golf Club,13,5,5,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,14,4,5,2,No,No,0
2025-01-16,Sunningdale Golf Club,15,4,4,2,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,16,3,4,2,,No,0
2025-01-16,Sunningdale Golf Club,17,4,4,1,Yes,Yes,0
2025-01-16,Sunningdale Golf Club,18,5,6,2,No,No,0
2025-02-06,Wentworth Club,1,4,4,2,Yes,Yes,0
2025-02-06,Wentworth Club,2,5,4,1,Yes,Yes,0
2025-02-06,Wentworth Club,3,3,3,2,,Yes,0
2025-02-06,Wentworth Club,4,4,4,2,Yes,Yes,0
2025-02-06,Wentworth Club,5,4,4,1,Yes,Yes,0
2025-02-06,Wentworth Club,6,4,5,2,No,No,0
2025-02-06,Wentworth Club,7,3,3,1,,Yes,0
2025-02-06,Wentworth Club,8,4,4,2,Yes,Yes,0
2025-02-06,Wentworth Club,9,5,5,2,Yes,Yes,0
2025-02-06,Wentworth Club,10,4,4,2,Yes,Yes,0
2025-02-06,Wentworth Club,11,4,5,2,No,No,0
2025-02-06,Wentworth Club,12,3,3,1,,Yes,0
2025-02-06,Wentworth Club,13,5,5,2,Yes,Yes,0
2025-02-06,Wentworth Club,14,4,5,2,No,No,0
2025-02-06,Wentworth Club,15,4,4,2,Yes,Yes,0
2025-02-06,Wentworth Club,16,3,4,2,,No,0
2025-02-06,Wentworth Club,17,4,4,2,Yes,Yes,0
2025-02-06,Wentworth Club,18,5,7,3,No,No,1
2025-02-27,Royal St George's,1,4,5,2,No,No,0
2025-02-27,Royal St George's,2,5,5,2,Yes,Yes,0
2025-02-27,Royal St George's,3,3,4,2,,No,0
2025-02-27,Royal St George's,4,4,4,2,Yes,Yes,0
2025-02-27,Royal St George's,5,4,5,2,No,No,0
2025-02-27,Royal St George's,6,4,4,1,Yes,Yes,0
2025-02-27,Royal St George's,7,3,3,2,,Yes,0
2025-02-27,Royal St George's,8,4,5,2,No,No,0
2025-02-27,Royal St George's,9,5,5,2,Yes,Yes,0
2025-02-27,Royal St George's,10,4,4,2,Yes,Yes,0
2025-02-27,Royal St George's,11,4,5,2,No,No,0
2025-02-27,Royal St George's,12,3,3,1,,Yes,0
2025-02-27,Royal St George's,13,5,5,2,Yes,Yes,0
2025-02-27,Royal St George's,14,4,5,2,No,No,0
2025-02-27,Royal St George's,15,4,4,2,Yes,Yes,0
2025-02-27,Royal St George's,16,3,4,2,,No,0
2025-02-27,Royal St George's,17,4,4,2,Yes,Yes,0
2025-02-27,Royal St George's,18,5,7,3,No,No,1
